chunk_id,topic,category,content,moves
0,En passant,Rule,"When a pawn advances two squares on its initial move and ends the turn adjacent to an enemy pawn on the same rank, it may be captured (en passant) by the enemy pawn as if it had moved only one square. This capture is legal only on the move immediately following the pawn's advance.",
1,Check,Rule,"A king is in check when it is under attack by at least one enemy piece. A piece unable to move because it would place its own king in check (it is pinned against its own king) may still deliver check to the opposing player. It is illegal to make a move that places or leaves one's king in check. The possible ways to get out of check are: - Move the king to a square where it is not in check. \n- Capture the checking piece. \n- Interpose a piece between the king and the opponent's threatening piece (block the check). \n In informal games, it is customary to announce ""check"" when making a move that puts the opponent's king in check. In formal competitions, however, check is rarely announced.",
2,Promotion,Rule,"If a player advances a pawn to its eighth rank, the pawn is then promoted (converted) to a queen, rook, bishop, or knight of the same color at the choice of the player (a queen is most common). The choice is not limited to previously captured pieces. Hence it is theoretically possible for a player to have up to nine queens or up to ten rooks, bishops, or knights if all of the player's pawns are promoted.",
3,Checkmate,Rule,"If a player's king is placed in check and there is no legal move that player can make to escape check, then the king is said to be checkmated, the game ends, and that player loses. Unlike the other pieces, the king is never captured.",
4,Resigning,Rule,"Either player may resign at any time, conceding the game to the opponent. To indicate resignation, the player may say ""I resign"". Tipping over the king also indicates resignation, but it should be distinguished from accidentally knocking the king over. Stopping both clocks is not an indication of resigning, since clocks can be stopped to call the arbiter. An offer of a handshake is sometimes used, but it could be mistaken for a draw offer. Under FIDE Laws, a resignation by one player results in a draw if their opponent has no way to checkmate them via any series of legal moves, or a loss by that player otherwise.",
5,Draws,Rule,"The game ends in a draw if any of these conditions occur: \n-The player to move is not in check and has no legal move. This situation is called a stalemate. \n-The game reaches a dead position. \n-Both players agree to a draw after one of the players makes such an offer. \nIn addition, in the FIDE rules, if a player has run out of time, or has resigned, but the position is such that there is no way for the opponent to give checkmate by any series of legal moves, the game is a draw. \nFIDE's competitive rules of play allow a player to claim a draw in either of two situations: \n-Fifty moves have been made by each player without a capture or pawn movement (this is the fifty-move rule). \n-The same position has appeared three times (or has appeared twice and the player claiming the draw can force the third appearance); this is the threefold repetition rule. \nThese rules help prevent games from being extended indefinitely in tournaments. \nThere is no longer a rule specifically defining perpetual check as a draw. In such a situation, either the threefold repetition rule or the fifty-move rule will eventually come into effect. More often, the players will simply agree to a draw.",
6,Board,Rule,"Chess is played on a chessboard, a square board divided into a grid of 64 squares (eight-by-eight) of alternating color (similar to the board used in draughts).Regardless of the actual colors of the board, the lighter-colored squares are called ""light"" or ""white"", and the darker-colored squares are called ""dark"" or ""black"". Sixteen ""white"" and sixteen ""black"" pieces are placed on the board at the beginning of the game. The board is placed so that a white square is in each player's near-right corner. Horizontal rows are called ranks, and vertical columns are called files.",
7,Win,Rule,"A game can be won in the following ways: \n-Checkmate: The opposing king is in check and the opponent has no legal move. \n-Resignation: A player may resign, conceding the game to the opponent. If, however, the opponent has no way of checkmating the resigned player, this is a draw under FIDE Laws. Most tournament players consider it good etiquette to resign in a hopeless position. \n-Win on time: In games with a time control, a player wins if the opponent runs out of time, even if the opponent has a superior position, as long as the player has a theoretical possibility to checkmate the opponent were the game to continue. \n-Forfeit: A player who cheats, violates the rules, or violates the rules of conduct specified for the particular tournament can be forfeited. Occasionally, both players are forfeited.",
8,Time Control,Rule,"In competition, chess games are played with a time control. Time controls are generally divided into categories based on the amount of time given to each player, which range from classical time controls, which allot about 2 hours or more to each player and which can take upwards of seven hours (even longer if adjournments are permitted), to bullet chess, in which players receive less than three minutes each. Between these are�rapid chess�(ten to sixty minutes per player), popular in amateur tournaments, and�blitz chess�(three to ten minutes), popular online. Non-classical chess is sometimes referred to as�fast chess.",
9,King,Piece,"The king is the most important piece in the game of chess. It may move to any adjoining square; it may also perform, in tandem with the rook, a special move called castling. If a player's king is threatened with capture, it is said to be in check, and the player must remove or evade the threat of capture immediately, such as by moving it away from the attacked square. If this cannot be done, the king is said to be in checkmate, resulting in a loss for that player. A player cannot make any move that places their own king in check. Despite this, the king can become a strong offensive piece in the endgame or, rarely, the middlegame.",
10,Rook,Piece,"The rook is a piece in the game of chess. It may move any number of squares horizontally or vertically without jumping, and it may capture an enemy piece on its path; it may participate in castling. Each player starts the game with two rooks, one in each corner on their side of the board.",
11,Queen,Piece,"The queen is the most powerful piece in the game of chess. It can move any number of squares vertically, horizontally or diagonally, combining the powers of the rook and bishop. Each player starts the game with one queen, placed in the middle of the first rank next to the king. Because the queen is the strongest piece, a pawn is promoted to a queen in the vast majority of cases; if a pawn is promoted to a piece other than a queen, it is an underpromotion.",
12,Pawn,Piece,"The pawn is the most numerous and weakest piece in the game of chess. It may move one square directly forward, it may move two squares directly forward on its first move, and it may capture one square diagonally forward. Each player begins a game with eight pawns, one on each square of their second rank. The white pawns start on a2 through h2; the black pawns start on a7 through h7.",
13,Bishop,Piece,"The bishop is a piece in the game of chess. It moves and captures along diagonals without jumping over interfering pieces. Each player begins the game with two bishops. The starting squares are c1 and f1 for White's bishops, and c8 and f8 for Black's bishops.",
14,Knight,Piece,"The knight is a piece in the game of chess, represented by a horse's head and neck. It moves two squares vertically and one square horizontally, or two squares horizontally and one square vertically, jumping over other pieces. Each player starts the game with two knights on the b- and g-files, each located between a rook and a bishop.",
15,Discovered attack,Tactic,"A discovered attack is a move that allows an attack by another piece. A piece is moved away so as to allow the attack of a friendly bishop, rook or queen on an enemy piece. If the attacked piece is the king, the situation is referred to as a discovered check. Discovered attacks are powerful since the moved piece may be able to pose a second threat.",
16,Fork,Tactic,"A fork is a move that uses one piece to attack two or more of the opponent's pieces simultaneously, with the aim to achieve material advantage, since the opponent can counter only one of the threats. Knights are often used for forks, with their unique moving and jumping ability, which makes them able to attack any enemy piece except for an enemy knight without being attacked in return. The queen is also an excellent forking piece, since she can move in eight different directions. However, a queen fork is only useful if both pieces are undefended, or if one is undefended and the other is the enemy's king. The queen is the most valuable attacking piece, so it is usually not profitable for her to capture a defended piece.",
17,Pin,Tactic,"A pin is a move that inhibits an opponent piece from moving, because doing so would expose a more valuable (or vulnerable) piece behind it. Only bishops, rooks, and queens can perform a pin, since they can move more than one square in a straight line. If the pinned piece cannot move because doing so would produce check, the pin is called absolute. If moving the pinned piece would expose a non-king piece, the pin is called relative.",
18,Skewer,Tactic,"A skewer is a move that attacks two pieces in a line, similar to a pin, except that the enemy piece of greater value is in front of the piece of lesser value. After the more valuable piece moves away, the lesser piece can be captured. Like pins, only queens, rooks, and bishops can perform the skewer, and skewer attacks can be either absolute (the more valuable piece in front is the king, in check) or relative (the piece in front is a non-king piece).",
19,Sacrifices,Tactic,"A sacrifice of some material is often necessary to throw the opponent's position out of balance, potentially gaining positional advantage. The sacrificed material is sometimes later offset with a consequent material gain. Pawn sacrifices in the opening are known as gambits; they are usually not intended for material gain, but rather to achieve a more active position.",
20,Zwischenzug,Tactic,"Zwischenzug (German for ""intermediate move"") is a common tactic in which a player under threat, instead of directly countering or recapturing, introduces an even more devastating threat. The tactic often involves a new attack against the opponent's queen or king. The opponent then may be forced to address the new threat, abandoning the earlier attack.",
21,Zugzwang,Tactic,"Zugzwang (German for ""compulsion to move"") occurs when a player is forced to make an undesirable move. The player is put at a disadvantage because they would prefer to pass and make no move, but a move has to be made, all choices of which weaken their position. Situations involving zugzwang seldom occur before the endgame, where there are fewer choices of available moves.",
22,Opening,Phase,"Sequences of opening moves are referred to as openings and are catalogued in reference works, such as the Encyclopaedia of Chess Openings. There are thousands of openings, though only a small fraction of them are commonly played; variations of openings may also be given names. Openings vary widely in character from quiet positional play (for example, the Rati Opening) to sharp aggressive play (like the Latvian Gambit). In some opening lines, the exact sequence considered best for both sides has been worked out to more than 30 moves.",
23,Middlegame,Phase,"The middlegame is the part of the game that starts after the opening. Because the opening theory has ended, players have to form plans based on the features of the position, and at the same time take into account the tactical possibilities of the position. The middlegame is the phase in which most combinations occur. Combinations are a series of tactical moves executed to achieve some gain. Middlegame combinations are often connected with an attack against the opponent's king. Some typical patterns have their own names; for example, the Boden's Mate or the Lasker-Bauer combination.",
24,Endgame,Phase,"The endgame (or end game or ending) is the stage of the game when there are few pieces left on the board. During the endgame, pawns become more important; endgames often revolve around attempting to promote a pawn by advancing it to the eighth rank. The king, which must be protected in the middlegame owing to the threat of checkmate, becomes a strong piece in the endgame and it is often brought to the center of the board where it can protect its own pawns, attack the pawns of opposite color, and hinder movement of the opponent's king.",
25,Phases of Chess,Phase,"Chess theory divides chess games into three phases with different sets of strategies: the opening, the middlegame, and lastly the endgame. There is no universally accepted way to delineate the three phases of the game; the middlegame is typically considered to have begun after 10-20 moves, and the endgame when only a few pieces remain.",
26,Exchanging Pieces,Strategy,"To exchange pieces means to capture a hostile piece and then allow a piece of the same value to be captured. As a rule of thumb, exchanging pieces eases the task of the defender who typically has less room to operate in. Exchanging pieces is usually desirable to a player with an existing advantage in material, since it brings the endgame closer and thereby leaves the opponent with less ability to recover ground. In the endgame even a single pawn advantage may be decisive. Exchanging also benefits the player who is being attacked, the player who controls less space, and the player with the better pawn structure.",
